CustomerID,Recency_Asli,Frequency_Asli,Monetary_Asli,Cluster_KMeans,Cluster_Hierarchical,Cluster_DBSCAN,Segmen_KMeans,Segmen_Hierarchical,Segmen_DBSCAN,Recency_scaled,Frequency_scaled,Monetary_scaled
12346,326,1,77183.6,1,0,-1,Champions,At-Risk Champions,Noise/Outlier,1.4619928068665424,-0.9552142636712971,3.707716304049809
12347,2,7,4310.0,1,1,0,Champions,Champions,At-Risk Champions,-2.0387344178427855,1.0744251947249353,1.41490344020104
12348,75,4,1797.24,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.37310423556778083,0.3863044476016776,0.7200242799673501
12349,19,1,1757.55,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.6230859205766931,-0.9552142636712971,0.702286912445134
12350,310,1,334.4,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.4245575339360348,-0.9552142636712971,-0.6145138785683288
12352,36,8,2506.04,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.16402870097223204,1.2468684386726128,0.9841077662004433
12353,204,1,89.0,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.1135502505032524,-0.9552142636712971,-1.6599892358833077
12354,232,1,1079.4,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.2090862834765006,-0.9552142636712971,0.3151288208808126
12355,214,1,459.4,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.1490907416248033,-0.9552142636712971,-0.3627665809933592
12356,23,3,2811.43,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.4870358868672529,0.05960546552681911,1.0754586015014986
12357,33,1,6207.67,1,0,-1,Champions,At-Risk Champions,Noise/Outlier,-0.22712620679597337,-0.9552142636712971,1.7048016170804894
12358,2,2,1168.06,1,1,0,Champions,Champions,At-Risk Champions,-2.0387344178427855,-0.36158277709840037,0.3778079209255647
12359,58,4,6310.03,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.1841671134665053,0.3863044476016776,1.717797156020491
12360,52,3,2662.06,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.10413950578058002,0.05960546552681911,1.0320879026439496
12361,287,1,189.9,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.3672244617898772,-0.9552142636712971,-1.0624017557619894
12362,3,10,5226.23,1,1,0,Champions,Champions,At-Risk Champions,-1.8240633918658722,1.5406654655354899,1.5680566616639142
12363,110,2,552.0,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.6557659603678762,-0.36158277709840037,-0.21712296314301258
12364,8,4,1313.1,1,1,0,Champions,Champions,At-Risk Champions,-1.2189397565026774,0.3863044476016776,0.4707529078572701
12365,291,2,641.38,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,1.377517166470927,-0.36158277709840037,-0.09805527075533962
12367,4,1,168.9,0,1,1,Lost / Churned,Champions,Lost / Churned,-1.6575516078937147,-0.9552142636712971,-1.1550190673695777
12370,51,4,3541.94,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.08992556633514363,0.3863044476016776,1.2589675600745749
